"","ATL","BOS","BKN","CHA","CHI","CLE","DAL","DEN","DET","GSW","HOU","IND","LAC","LAL","MEM","MIA","MIL","MIN","NOR","NYK","OKC","ORL","PHI","PHO","PDX","SAC","SAS","TOR","UTA","WAS"
"ATL",0,45,48,58,40,46,45,49,43,41,40,52,40,47,48,45,40,45,48,40,40,42,41,41,40,44,40,36,41,47
"BOS",45,0,40,49,44,50,36,39,48,39,45,47,36,40,54,41,40,44,47,43,46,45,39,37,54,40,38,39,51,42
"BKN",48,40,0,46,48,50,50,38,49,41,43,46,44,43,47,48,52,48,49,47,34,45,45,49,42,47,42,45,45,53
"CHA",58,49,46,0,48,47,43,44,52,37,44,49,46,41,48,44,44,50,50,42,40,43,41,45,41,46,43,44,48,49
"CHI",40,44,48,48,0,49,54,37,51,38,47,51,39,47,48,54,47,58,51,46,42,49,50,52,43,43,46,46,48,54
"CLE",46,50,50,47,49,0,50,49,54,43,50,48,42,44,49,51,51,47,54,46,48,48,48,40,41,44,43,49,45,50
"DAL",45,36,50,43,54,50,0,47,47,44,42,46,41,46,46,52,47,51,53,41,40,45,45,52,41,46,49,44,50,53
"DEN",49,39,38,44,37,49,47,0,48,42,41,48,41,39,37,45,37,38,48,44,42,36,39,36,29,45,46,42,40,40
"DET",43,48,49,52,51,54,47,48,0,36,46,46,44,42,52,54,44,49,54,43,40,52,48,45,42,47,48,47,49,42
"GSW",41,39,41,37,38,43,44,42,36,0,47,45,36,40,44,36,46,45,44,36,45,32,44,41,38,43,40,37,44,44
"HOU",40,45,43,44,47,50,42,41,46,47,0,36,46,37,42,40,49,39,42,45,39,42,40,40,40,41,46,44,44,43
"IND",52,47,46,49,51,48,46,48,46,45,36,0,37,45,48,46,42,55,44,45,40,44,42,44,41,41,42,47,45,42
"LAC",40,36,44,46,39,42,41,41,44,36,46,37,0,34,44,43,39,44,42,41,43,44,32,40,34,44,45,49,37,39
"LAL",47,40,43,41,47,44,46,39,42,40,37,45,34,0,40,46,46,43,42,39,39,45,48,46,45,43,44,38,37,42
"MEM",48,54,47,48,48,49,46,37,52,44,42,48,44,40,0,51,41,48,52,46,49,54,45,46,49,40,49,46,55,44
"MIA",45,41,48,44,54,51,52,45,54,36,40,46,43,46,51,0,39,50,45,47,41,50,53,49,43,47,41,46,45,48
"MIL",40,40,52,44,47,51,47,37,44,46,49,42,39,46,41,39,0,42,49,49,35,38,50,42,45,50,48,43,43,44
"MIN",45,44,48,50,58,47,51,38,49,45,39,55,44,43,48,50,42,0,44,50,44,49,41,47,43,46,41,48,45,52
"NOR",48,47,49,50,51,54,53,48,54,44,42,44,42,42,52,45,49,44,0,41,41,44,45,44,39,45,60,40,52,47
"NYK",40,43,47,42,46,46,41,44,43,36,45,45,41,39,46,47,49,50,41,0,37,43,42,37,46,41,39,57,46,45
"OKC",40,46,34,40,42,48,40,42,40,45,39,40,43,39,49,41,35,44,41,37,0,48,40,43,37,35,35,44,44,45
"ORL",42,45,45,43,49,48,45,36,52,32,42,44,44,45,54,50,38,49,44,43,48,0,43,43,39,33,48,51,47,40
"PHI",41,39,45,41,50,48,45,39,48,44,40,42,32,48,45,53,50,41,45,42,40,43,0,44,47,46,39,43,43,39
"PHO",41,37,49,45,52,40,52,36,45,41,40,44,40,46,46,49,42,47,44,37,43,43,44,0,43,42,47,37,48,50
"PDX",40,54,42,41,43,41,41,29,42,38,40,41,34,45,49,43,45,43,39,46,37,39,47,43,0,38,38,38,46,44
"SAC",44,40,47,46,43,44,46,45,47,43,41,41,44,43,40,47,50,46,45,41,35,33,46,42,38,0,39,44,40,42
"SAS",40,38,42,43,46,43,49,46,48,40,46,42,45,44,49,41,48,41,60,39,35,48,39,47,38,39,0,41,49,38
"TOR",36,39,45,44,46,49,44,42,47,37,44,47,49,38,46,46,43,48,40,57,44,51,43,37,38,44,41,0,38,45
"UTA",41,51,45,48,48,45,50,40,49,44,44,45,37,37,55,45,43,45,52,46,44,47,43,48,46,40,49,38,0,45
"WAS",47,42,53,49,54,50,53,40,42,44,43,42,39,42,44,48,44,52,47,45,45,40,39,50,44,42,38,45,45,0
